npsn,nama_sekolah,alamat,kelurahan,kecamatan,jumlah_siswa,jumlah_guru,kepala_sekolah,telp_sekolah,akreditasi,latitude,longitude
20107276,SMA Al Azhar Syifa Budi,Jl. Kemang Raya No.7,Bangka,Mampang Prapatan,45,25,"Drs. Widada, M.Pd.",021 71793333,A,-6.254838,106.810860
20107277,SMA Al Izhar,Jl. RS.Fatmawati Kav. 49,Pondok Labu,Cilandak,286,36,Dra. Aykah,021 7695542,A,-6.310494,106.791969
20107278,SMA Asisi,Jl. H. Ramli,Menteng Dalam,T e b e t,162,22,Maria Immaculata Gunarwati,021 8354509,A,-6.231481,106.842316
20107279,SMA Islam As-syafiiah 01,Jl. Bukit Duri Selatan No. 29,Bukit Duri,T e b e t,246,20,DRS. HELMI FUAD,021 8302342,B,-6.220259,106.851021
20107280,SMA Bakti Idhata,Jl. Melati 25,Cilandak Barat,Cilandak,426,23,H.Tatang Sutarsa,021 7509665,A,-6.284000,106.794373
20107281,SMA Bakti Mulya 400,Jl. Lingkar Selatan,Pondok Pinang,Kebayoran Lama,304,34,R. Saiful Achmad S.Pd,021 75909352,A,-6.284517,106.772675
20107283,SMA Bina Nusantara,Jl. Sultan Iskandar Muda G.8,Grogol Selatan,Kebayoran Lama,0,14,Daru Kabeka Janarto,021 7243663,A,-6.250712,106.781883
20107284,SMA Al-Kautsar,Jl. Jembatan Selatan No. 6,Pulo,Kebayoran Baru,45,18,Dwi Setyorini,021 72796383,B,-6.252592,106.795509
20107285,SMA Borobudur,Jl. Raya Cilandak KKO,Cilandak Timur,Pasar Minggu,71,16,Dra. Hj.Rahmawati M.,021 7827316,A,-6.307422,106.813164
20107286,SMA Budi Waluyo,Jl. Cisanggiri III/15 Blok Q4,Petogogan,Kebayoran Baru,18,18,"Drs. Ari Gunawan, M.Pd","021 98114712, 021 7254325",A,-6.241512,106.812775
20107287,SMA Bunda Kandung,Jl. Pol. Tangan Raya 41,Pejaten Timur,Pasar Minggu,250,12,Drs. Madhari,"021 7806208, 021 7800694",A,-6.296940,106.843071
20107288,SMA Cenderawasih 1,Jl. RS. Fatmawati Komp. Deplu,Gandaria Selatan,Cilandak,308,23,Drs. Irian Pribadi,"021 7691715, 021 7503154",A,-6.269337,106.796951
20107289,SMA Charitas,Jl. Mawar Indah No.75,Cilandak Barat,Cilandak,0,20,"Sr. M.Paula,FCh.S.Pd.",021 7650988,A,-6.296478,106.772163
20107290,SMA Cita Buana,Jl. Paso No. 84,Jagakarsa,Jagakarsa,117,45,"Melany Kusumawati, S.Pd., M.S.",021 7820088,A,-6.315647,106.814636
20107291,SMA Darul Maarif,Jl. RS. Fatmawati No. 45,Cipete Selatan,Cilandak,189,18,"Bahriadi, S.Pdi",021 7694127,A,-6.267480,106.797920
20107292,SMA Darunnajah,Jl. Ulujami Raya No. 86,Pesanggrahan,Pesanggrahan,351,34,"Muchtar Ghozali, S.H.I.",021 7376344,A,-6.247070,106.761620
20107294,SMA Dewi Sartika,Jl. Tebet Barat Dalam No.39,Tebet Barat,T e b e t,139,10,IR. EDI PURNAMA. MM,021 8294942,A,-6.237189,106.847107
20107295,SMA Dharma Karya,Jl. Melawai XII No. 2 Kav. 207 A,Melawai,Kebayoran Baru,334,22,,021 7398576,A,-6.247200,106.799896
20107296,SMA El Syifa,Jl. R.M Moch Kahfi I,Ciganjur,Jagakarsa,23,7,,021 92422213,Tidak Terakreditasi,-6.334628,106.806984
20107297,SMA Fatahillah,Jl. Raya Buncit No. 67,Kalibata,Pancoran,173,17,"H. Maskuri, S.Ag",021 7940492,A,-6.274151,106.831825
20107298,SMA Gitta Kirtti 3,Jl. BRI Radio Dalam,Gandaria Utara,Kebayoran Baru,182,16,"Ida Farida, S. Ag.",021 27517225,A,-6.258927,106.791710
20107299,SMA Gonzaga,Jl. Pejaten Barat 10 A,Pejaten Barat,Pasar Minggu,709,48,"Leonardus E.B. Winandoko, SJ.",021 7804986,A,-6.278300,106.822807
20107300,SMA Hang Tuah 1,"Jl. Ciledug Raya, Komp. Seskoal",Kebayoran Lama Utara,Kebayoran Lama,413,38,"Harry R. Adam, S.IP",021 7229860/61,A,-6.239806,106.773582
20107301,SMA Harnasto Inst.,Jl. Cidodol Raya No. 40,Grogol Selatan,Kebayoran Lama,29,11,"Mardiyemi, S.Pd",021 7224830,B,-6.228428,106.773659
20107302,SMA Islam Avicenna Jagakarsa,Jln. Moch Kahfi II No. 66,Jagakarsa,Jagakarsa,171,21,"MAMAN,S.Pd","021 78884887, 021 78884936, 021 78884942",A,-6.336075,106.833290
20107303,SMA Is. Harapan Ibu,"Jl. H. Banan No. 1, Pondok Pinang",Pondok Pinang,Kebayoran Lama,16,14,Hj Neneng Junaisih,021 75911228,A,-6.272849,106.773872
20107304,SMA Islam Al.Azhar 1,Jl. Sisingamangaraja,Selong,Kebayoran Baru,201,24,Drs. Ngadiman,"021 7200159, 021 7396232 Ext. 1",A,,
20107305,SMA Islam Al Azhar 2,Jl. Siaga Raya,Pejaten Barat,Pasar Minggu,371,26,"Abdulah S.Pd, MSi",021 7971445,A,-6.270072,106.837646
20107306,SMA Islam Al.Azhar 3,Jl. Sisingamangaraja,Petogogan,Kebayoran Baru,172,32,"Drs. Nuzuar, M.Pd.",021 7269935,A,-6.233921,106.800011
20107307,SMA Islam Al Kholidin,Jl. Iskandarsyah Raya Blok O,Melawai,Kebayoran Baru,26,24,"Hj. IKA RACHMAWATI, S.Pd",021 7234378,A,-6.246727,106.805756
20107308,SMA Kartika X-1,Jl. Raya Kodam Bintaro No. 53,Pesanggrahan,Pesanggrahan,427,33,"Drs. Sukamto, MM",021 7341806,A,-6.260500,106.759644
20107309,SMA Kartika VIII-1,Jl. Seroja Srengseng Sawah,Srengseng Sawah,Jagakarsa,0,20,Drs.Dulmanan,021 7866334,A,-6.343131,106.831360
20107310,SMA Kel. Widuri,Jl. Gunung Balong I No. 2,Lebak Bulus,Cilandak,132,29,Drs. Budhy Sasmito,021 7699146,A,-6.303739,106.787895
20107311,SMA Kem. Bhayangkari,"Jl. Ampera Raya, Komplek POLRI Ragunan",Pasar Minggu,Pasar Minggu,375,33,"Muryanto, M.Pd.",021 7807652,A,-6.283111,106.819489
20107312,SMA Kharismawita,Jl. Swadaya II No. 30,Tanjung Barat,Jagakarsa,102,20,Gumin Has S.Pd,021 7801508,B,-6.299719,106.845901
20107313,SMA Labschool Kebayoran,Jl. KH. Ahmad Dahlan No. 14,Kramat Pela,Kebayoran Baru,733,48,Risang Danardana L,021 7398935,A,-6.244912,106.791183
20107314,SMA Muhammadiyah 3,Jl. Limau I/2 Blok B,Gandaria Utara,Kebayoran Baru,349,29,"Achmad Saifudin, S.Pd",021 7393363,A,-6.248052,106.790901
20107315,SMA Muhammadiyah 18,Jl. Panjang Cipulir,Cipulir,Kebayoran Lama,237,30,"Drs.Ahmad Jahid, MA",021 7229192,A,-6.234492,106.771683
20107317,SMA Muhammadiyah 5,Jl. Tebet Timur Raya 565,Tebet Timur,T e b e t,374,31,"Moh. Ridwan,S.Pd.I",021 8351303,A,-6.239200,106.862122
20107318,SMA Muttaqien,Jl. Asem Baris Raya 5,Kebon Baru,T e b e t,90,16,"M. Ambardi, SE",021 8302859,B,-6.241586,106.860191
20107319,SMA Negeri 28,"Jl. Raya Ragunan, Pasar Minggu",Jati Padang,Pasar Minggu,755,40,"Dra. Hj. Endang Sri Hartini, M.Si",021 7806293 Ext. 0,A,-6.281856,106.832741
20107320,SMA Negeri 79,Jl. Menteng Pulo Ujung,Menteng Atas,Setia Budi,481,40,"Satya Budi Aprianto, S.Si.",021 8357087,A,-6.209162,106.838554
20107322,SMA Pangudi Luhur,Jl. Brawijaya IV No. 47,Pulo,Kebayoran Baru,113,24,"BR. TITUS TOTOK TRI NUGROHO FIC, ST","021 7243556, 021 7232301",A,-6.253653,106.806381
20107323,SMA Pattimura,Jl. Jagakarsa Raya No. 88,Jagakarsa,Jagakarsa,0,14,"Desy Sri Andayawaty, S.Pd",021 7863576,B,-6.326661,106.819138
20107325,SMA Perg. Cikini,Jl. Duren Tiga Raya,Duren Tiga,Pancoran,34,22,DRS. FARID SYAMSUL BACHRI,021 7991458,A,-6.255711,106.827629
20107326,SMA PGRI 3,Jl. Pondok Labu Ib No. 29A,Pondok Labu,Cilandak,148,18,Dra. Zumaroh,021 7650039,A,-6.310255,106.802177
20107327,SMA PSKD 4,Jl. Panglima Polim II No. 51A,Petogogan,Kebayoran Baru,80,27,Anton,021 7243957,A,-6.247276,106.801323
20107328,SMA Purnama,Jl. Tirtayasa Lima,Selong,Kebayoran Baru,6,9,"Drs. St, ISRIN L, CHANDRA",021 7246827,B,-6.243752,106.806343
20107330,SMA Seruni-Don Bosco,Jl. TB. Simatupang,Cilandak Barat,Cilandak,108,16,DRS. GATOT DWI ARGA PARACU,021 7660717,A,-6.291664,106.793373
20107331,SMA Suluh,Jl. Palapa Raya No. 1,Pasar Minggu,Pasar Minggu,784,51,Saifuddin,021 7801607,A,-6.288340,106.842094
20107332,SMA Sumbangsih,Jl. Ampera Raya No. 3-4,Cilandak Timur,Pasar Minggu,332,27,"AKHMAD NIDOM, Drs",021 7812569,A,-6.290317,106.817390
20107334,SMA Tarakanita I,Jl. Pulo Raya IV/17,Petogogan,Kebayoran Baru,227,32,"Sr. Brigitta, CB",021 7393916,A,-6.241526,106.810951
20107335,SMA Teladan,Jl. Srengseng Sawah 74,Srengseng Sawah,Jagakarsa,25,15,"U U Juma, S.Ag",021 70356411,A,-6.346983,106.822159
20107336,SMA Triguna,Jl. Hang Lekiu 3/17,Gunung,Kebayoran Baru,137,24,Dra Hj. Meldawati,021 7244026,A,-6.234666,106.795090
20107338,SMA Yaperjasa,Jl. Belimbing Jagakarsa,Jagakarsa,Jagakarsa,0,22,"Drs. Abdul Khair, M.Pd",021 7867622,A,-6.332798,106.823517
20107340,SMA YASPORBI 1,Jl. Komplek Bank Indonesia Pancoran No.15A,Menteng Dalam,T e b e t,176,20,"Ir. MAMAN DARUSMAN, M.Pd.",021 8311710,A,-6.239466,106.842148
20107341,SMA YMIK 1,Jl. Manggarai Utara VII,Manggarai,T e b e t,4,10,,021 8350808,B,-6.211210,106.852768
20107342,SMA YMIK 2,Jl. Manggarai Utara VII,Manggarai,T e b e t,275,14,DRS. MUSTO NASUTION,021 8298238,A,-6.211203,106.852768
20107367,SMA Al Jihad,Jl. Papanggo 1,Papanggo,Tanjung Priok,168,16,"Nurul Huda, S.Pd.I",021 2934665,B,-6.130115,106.881821
20107368,SMA Al Khairiyah,Jl. Mindi No. 2,Lagoa,K o j a,186,22,H. SRI WAHONO,021 4374154,B,-6.115578,106.910660
20107369,SMA Al Muhajirin,Jl. Tunda No. 20-21 Komp. Pelindo II,Rawa Badak Selatan,K o j a,45,13,,021 4303432,B,-6.214620,106.845131
20107370,SMA Bina Tunas Bangsa,Jl. Pluit Timur Blok MM,Pluit,Penjaringan,117,22,"S Williana K, M.Pd",021 30031300,A,-6.119333,106.793915
20107371,SMA Cahaya Kudus,Jl. Muara Karang B IX Selatan No. 129-131,Pluit,Penjaringan,73,12,"SUDARTO, S.Pd",021 6603416,A,-6.112222,106.781418
20107372,SMA Chandra Kusuma,Perum Villa Kapuk Mas Selatan V Blok H4 No.1,Kapuk Muara,Penjaringan,46,37,"Ivawati Sirait,S.E",021 5451911,A,-6.133025,106.771637
20107373,SMA Dharma Putra Jakarta,Jl. Swasembada Barat XI No. 92,Kebon Bawang,Tanjung Priok,186,19,"Drs. UNGKAP SIANTURI, M.Pd",021 4338183,B,-6.122607,106.887245
20107374,SMA Dharma Satria,Jl. Teluk Indah Blok Q No.2-4,Pejagalan,Penjaringan,141,13,Drs. K. Sitepu,021 6695304,A,-6.137819,106.783592
20107374,SMA Darma Satria Persada,Jl. Komp.Teluk Indah Blok Q No.2-4,Pejagalan,Penjaringan,162,13,Drs.K.Sitepu,021 6695304,A,-6.137818,106.783592
20107375,SMA Dharma Suci,Jl. Jembatan III Komp. Pluit Mas Blok F No. 1-5,Pejagalan,Penjaringan,223,26,"IMELDHA PUTRIANTI, S.Ag.",021 6696437,A,-6.141038,106.790138
20107376,SMA Gideon,Jl. Gadang No. 77,Sungai Bambu,Tanjung Priok,102,12,MARISI NAINGGOLAN,021 94023982,B,-6.127624,106.884003
20107377,SMA Gita Kirtti II,Jl. Sunter Jaya IV/2,Sunter Jaya,Tanjung Priok,0,12,"Mujur, S.Ag.",021 6508977,A,-6.155814,106.867447
20107378,SMA Harapan Kasih,Jl. Muara Baru Raya 5/7,Penjaringan,Penjaringan,81,14,"CHAIRIL ANWAR,S.Pd MM",021 66674786,B,-6.129880,106.797264
20107379,SMA Hassanuddin,Jl. Rawa Badak No. 79-81,Lagoa,K o j a,24,12,ANDI ASRIL. T,021 43905137,B,,
20107380,SMA Jubilee,Jl. Sunter Jaya I No. 1,Sunter Agung,Tanjung Priok,258,35,Budiman,021 65300300,A,-6.149766,106.858574
20107382,SMA Kristen IPEKA Pluit,Jl. Pluit Timur Blok B Utara No. 1,Pluit,Penjaringan,249,25,DICKY HENDRAWAN,021 6613576,A,-6.121101,106.774231
20107383,SMA Kristen IPEKA Sunter,"Jl. Baru, Sunter Agung",Sunter Agung,Tanjung Priok,416,32,Dra. Titi Sari,"021 6501078, 021 6519222",A,-6.158559,106.861877
20107384,SMA K. Tunas Bangsa,Jl. Sunter Garden Blok C-7,Sunter Agung,Tanjung Priok,180,13,Estheria M Pakpahan S.Pd,021 65300983,A,-6.139180,106.874870
20107385,SMA Laphat Plus,Jl. BHAYANGKARA No. 47,Tugu Utara,K o j a,67,15,"Mardiyoto, S.Pd, M.Si",021 70640483,B,-6.131930,106.913200
20107386,SMA K. Mawar Saron,Jl. Hibrida Timr Raya,Pegangsaan Dua,Kelapa Gading,98,14,Magdalena Sugiyo,021 45843455,A,-6.146534,106.913239
20107387,SMA Nurul Falah,Jl. Dewa Kembar Komp.TNI-AL Semper Timur,Semper Timur,Cilincing,156,18,"Iin Indriani, S.Pd.",021 4403864,A,-6.108264,106.925865
20107388,SMA Nusantara,Jl. Kramat Jaya Gg. VIII,Semper Barat,Cilincing,86,17,Subiyarto Drs.M.Hum,021 4408882,B,-6.157059,106.925957
20107389,SMA Permata Indah,Jl. Kamp. Gusti Blok A No.1,Pejagalan,Penjaringan,198,13,TIARMA SAMOSIR. S. PAK,021 66691488,A,-6.139652,106.778000
20107390,SMA Saint Peter,Jl. Boulevard Timur Raya No 8,Pegangsaan Dua,Kelapa Gading,28,22,"Leo Yoseph, Drs, MM",021 4524246,A,-6.155379,106.904778
20107391,SMA Santo Lukas I,Jl. Ancol Selatan II / 1,Sunter Agung,Tanjung Priok,1,14,Florentina Suratmi,021 6507574,A,-6.132604,106.857513
20107393,SMA Stella Maris,Jl. Lele Blok A I Teluk Gong,Pejagalan,Penjaringan,95,15,ANDREAS WIDOSUWAHYONO,021 6600920,A,-6.130480,106.778000
20107394,SMA Maria Della Strada,Jl. Pademangan I Gg.VIII No.18,Pademangan Timur,Pademangan,142,21,Stanislaus Sidu Niron,021 64714789,A,-6.137007,106.842422
20107395,SMA Tanjung Priok,Jl. Mangga no. 40 Lagoa,Lagoa,K o j a,333,26,,021 43900659,A,-6.113539,106.911095
20107396,SMA Tri Darma Budidaya,Jl. Bidara Raya Gg. G. 36,Pejagalan,Penjaringan,26,12,Drs. YASIN KARIM,021 6620766,B,-6.139931,106.788788
20107397,SMA Wijaya,Jl. Masjid Al Barkah,Sunter Agung,Tanjung Priok,95,12,"Hj. Siti Fatimah, MA.Pd",021 6515255,A,-6.159341,106.873970
20107398,SMA Wijaya Kusuma,Jl. Bandengan Utara No. 80,Penjaringan,Penjaringan,43,23,"RONIH, S. Ag",021 6693514,A,-6.135497,106.796997
20107399,SMA Yanic,Jl. Teluk Semangka No. 103 Komp.BPP,Sukapura,Cilincing,92,14,"DEDE MUHAROMAH, S.Sos",0851 00739922,B,-6.141129,106.927750
20107400,SMA Yappenda,Jl. Swasembada Timur V/10,Kebon Bawang,Tanjung Priok,494,41,,021 4300653,A,,
20107589,SMA Global Islamic School,Jl Condet Raya No 5,Balekambang,Kramat Jati,186,22,"Firdaus Noor Farid, S.Si",021 80884510,A,,
20107590,SMA Trampil I,Jl. Cililitan Besar,Kebon Pala,Makasar,7,13,Ahmad Zayadi,021 8003074,B,-6.262936,106.873833
20107591,SMA Trampil II,Jl. Olahraga 2 Condet,Cililitan,Kramat Jati,63,17,"Abdul Rozak, S.IP",021 8003323,A,-6.267472,106.861504
20108383,SMA Santa Ursula,Jl. Pos No.2,Pasar Baru,Sawah Besar,415,38,"Sr. MAGDALENA LIAN, OSU. M.Pd",021 3840915,A,-6.170000,106.830002
20108498,SMA Advent 1,Jl. Kramat Pulo 16,Kramat,S e n e n,207,23,ROMAULI NAIBAHO S.Pd,"021 3155371, 021 3920280",A,-6.184600,106.8439
20108499,SMA Dwisaka,Jl. Tambak No. 32,Pegangsaan,Menteng,79,13,Drs. SYAFII,021 3908366,C,-6.204909,106.849228
20108501,SMA Hati Suci,Jl. Hati Suci No. 2,Kampung Bali,Tanah Abang,45,18,Suparmo,021 3157924,A,-6.184100,106.817299
20108502,SMA Islam Said Na'um,Jl. K.H. Mas Mansyur No. 25,Kebon Kacang,Tanah Abang,147,22,Dra. Andriana,021 31905833,A,-6.191379,106.816498
20108504,SMA Nasional Anglo,Jl. Rawasari Selatan No. 10 X,Rawasari,Cempaka Putih,14,18,Dra. LEVINA MAIRUHU,021 4208702,A,-6.186775,106.873177
20108505,SMA Pembangunan 2,Jl. Pembangunan 2 No. 18,Gambir,Gambir,26,10,"TUTI TATANG,SE",021 6339274,A,-6.162702,106.817268
20108506,SMA PGRI 15,Jl. Mutiara Karet Tengsin,Karet Tengsin,Tanah Abang,30,9,"H. Herry Ruzizoulla, SE",021 57853481,B,-6.208900,106.814697
20108507,SMA Santo Bellarminus,Jl. Lombok No. 58,Gondangdia,Menteng,75,15,Ir. ELIZABETH ENI SURANINGSIH,021 31935157,A,-6.200000,106.800003
20109062,SMA Mutiara Bangsa 3,Jl. Jelambar Barat III No. 5 B,Jelambar Baru,Grogol Petamburan,82,14,Drs. Rohmad,021 56940779,A,-6.145007,106.783096
20109180,SMA Marie Joseph,Jl. Puspa Gading I Blok H2 No.10-12,Pegangsaan Dua,Kelapa Gading,135,26,"Anastasia Keranz, S.Ag","021 45876292, 021 45876293",A,,
20109326,SMA Kasih Karunia,TAMAN PALEM LESTARI BLOK F6/21-23,Pegadungan,Kalideres,0,12,"CORNELIA CHANDRA , M.Pd",021 55956640,B,-6.172300,106.762733
20109467,SMA Kristen IPEKA Puri Indah,Jl. Puri Indah Blok I,Kembangan Utara,Kembangan,94,32,Aang Nasrudin,"021 5809003, 021 5809004, 021 5809005, 021 5809006",A,-6.186576,106.742928
20109491,SMA Islam Al-Ma'ruf,Jl. Raya Lapangan Tembak,Kelapa Dua Wetan,Ciracas,189,21,"ARMADA HADI, S.Ag, M.Pd",021 87710597,A,-6.351042,106.880966
20109513,SMA High/Scope Indonesia,Jl. TB. Simatupang No. 8,Cilandak Barat,Cilandak,278,15,ETIKA HIA,021 75917888,A,-6.291935,106.794640
20109516,SMA International Islamic High School,Jl. Rasuna Said Kav. X-2 No.4 Palma One Lt. 4,Kuningan Timur,Setia Budi,129,29,"Drs. Zerry Novian, M.Si (Ak)",021 5274030,A,,
20109524,SMA Perguruan Rakyat I Jakarta,Jl. Yon Zikon 14,Srengseng Sawah,Jagakarsa,3,26,,021 7270207,A,-6.345313,106.826897
20109560,SMA SIS Kelapa Gading,Jl. Pegangsaan Dua No. 83,Pegangsaan Dua,Kelapa Gading,66,,,,,,
20109933,SMA Negeri Unggulan M. H. Thamrin,Jl. Bambu Wulung,Bambu Apus,Cipayung,232,31,"WARNOTO, M.Pd",021 84596769,A,-6.315796,106.901711
20109971,SMA Cinta Tzu Chi,Jl. Kamal Raya Outer Ring Road No. 20,Cengkareng Timur,Cengkareng,275,23,M. Hotman Simbolon,021 54397565,A,-6.131466,106.737923
20110265,SMA Pelita Kasih,Jln. Taman Palem Lestari Blok E9 No.1,Cengkareng Barat,Cengkareng,156,17,"LIZA SULISTYO, S.Pd",021 55952526,A,-6.117400,106.722397
20110335,SMAK 6 Penabur,Jl. Muara Karang Blok 23 S,Pluit,Penjaringan,245,45,"SYLVIANA CHRISYAN, S.E., M.M.",021 6621932,A,-6.115177,106.774681
20112282,SMA Chartar Buana,Jl. Rawa Bola No. 49,Kelapa Dua Wetan,Ciracas,242,11,"NIXON MARPAUNG, S.Pd",021 8711098,A,-6.349581,106.887520
